"","local_site","location","date","discharge_vol_cm"
"60","alb","CAMP",1981-09-13,9656
"61","alb","CAMP",1981-09-14,9509
"62","alb","CAMP",1981-09-15,9364
"63","alb","CAMP",1981-09-16,9217
"64","alb","CAMP",1981-09-17,9070
"65","alb","CAMP",1981-09-18,8923
"66","alb","CAMP",1981-09-19,8657
"67","alb","CAMP",1981-09-20,7583
"68","alb","CAMP",1981-09-21,8082
"69","alb","CAMP",1981-09-22,9472
"70","alb","CAMP",1981-09-23,6465
"71","alb","CAMP",1981-09-24,8249
"72","alb","CAMP",1981-09-25,15875
"73","alb","CAMP",1981-09-26,5564
"74","alb","CAMP",1981-09-27,2922
"75","alb","CAMP",1981-09-28,6244
"76","alb","CAMP",1981-09-29,5140
"77","alb","CAMP",1981-09-30,8441
"78","alb","CAMP",1981-10-01,4749
"79","alb","CAMP",1981-10-02,NA
"80","alb","CAMP",1981-10-03,NA
"81","alb","CAMP",1981-10-04,NA
"82","alb","CAMP",1981-10-05,NA
"83","alb","CAMP",1981-10-06,NA
"84","alb","CAMP",1981-10-07,NA
"85","alb","CAMP",1981-10-08,NA
"86","alb","CAMP",1981-10-09,NA
"87","alb","CAMP",1981-10-10,NA
"88","alb","CAMP",1981-10-11,NA
"89","alb","CAMP",1981-10-12,NA
"90","alb","CAMP",1981-10-13,NA
"91","alb","CAMP",1981-10-14,NA
"92","alb","CAMP",1981-10-15,NA
"93","alb","CAMP",1981-10-16,NA
"94","alb","CAMP",1981-10-17,NA
"95","alb","CAMP",1981-10-18,NA
"96","alb","CAMP",1981-10-19,NA
"97","alb","CAMP",1981-10-20,NA
"98","alb","CAMP",1981-10-21,NA
"99","alb","CAMP",1981-10-22,NA
"100","alb","CAMP",1981-10-23,NA
"101","alb","CAMP",1981-10-24,NA
"102","alb","CAMP",1981-10-25,NA
"103","alb","CAMP",1981-10-26,NA
"104","alb","CAMP",1981-10-27,NA
"105","alb","CAMP",1981-10-28,NA
"106","alb","CAMP",1981-10-29,NA
"107","alb","CAMP",1981-10-30,NA
"108","alb","CAMP",1981-10-31,NA
"109","alb","CAMP",1981-11-01,NA
"110","alb","CAMP",1981-11-02,NA
"111","alb","CAMP",1981-11-03,NA
"112","alb","CAMP",1981-11-04,NA
"113","alb","CAMP",1981-11-05,NA
"114","alb","CAMP",1981-11-06,NA
"115","alb","CAMP",1981-11-07,NA
"116","alb","CAMP",1981-11-08,NA
"117","alb","CAMP",1981-11-09,NA
"118","alb","CAMP",1981-11-10,NA
"119","alb","CAMP",1981-11-11,NA
"120","alb","CAMP",1981-11-12,NA
"121","alb","CAMP",1981-11-13,NA
"122","alb","CAMP",1981-11-14,NA
"123","alb","CAMP",1981-11-15,NA
"124","alb","CAMP",1981-11-16,NA
"125","alb","CAMP",1981-11-17,NA
"126","alb","CAMP",1981-11-18,NA
"127","alb","CAMP",1981-11-19,NA
"128","alb","CAMP",1981-11-20,NA
"129","alb","CAMP",1981-11-21,NA
"130","alb","CAMP",1981-11-22,NA
"131","alb","CAMP",1981-11-23,NA
"132","alb","CAMP",1981-11-24,NA
"133","alb","CAMP",1981-11-25,NA
"134","alb","CAMP",1981-11-26,NA
"135","alb","CAMP",1981-11-27,NA
"136","alb","CAMP",1981-11-28,NA
"137","alb","CAMP",1981-11-29,NA
"138","alb","CAMP",1981-11-30,NA
"139","alb","CAMP",1981-12-01,NA
"140","alb","CAMP",1981-12-02,NA
"141","alb","CAMP",1981-12-03,NA
"142","alb","CAMP",1981-12-04,NA
"143","alb","CAMP",1981-12-05,NA
"144","alb","CAMP",1981-12-06,NA
"145","alb","CAMP",1981-12-07,NA
"146","alb","CAMP",1981-12-08,NA
"147","alb","CAMP",1981-12-09,NA
"148","alb","CAMP",1981-12-10,NA
"149","alb","CAMP",1981-12-11,NA
"150","alb","CAMP",1981-12-12,NA
"151","alb","CAMP",1981-12-13,NA
"152","alb","CAMP",1981-12-14,NA
"153","alb","CAMP",1981-12-15,NA
"154","alb","CAMP",1981-12-16,NA
"155","alb","CAMP",1981-12-17,NA
"156","alb","CAMP",1981-12-18,NA
"157","alb","CAMP",1981-12-19,NA
"158","alb","CAMP",1981-12-20,NA
"159","alb","CAMP",1981-12-21,NA
"160","alb","CAMP",1981-12-22,NA
"161","alb","CAMP",1981-12-23,NA
"162","alb","CAMP",1981-12-24,NA
"163","alb","CAMP",1981-12-25,NA
"164","alb","CAMP",1981-12-26,NA
"165","alb","CAMP",1981-12-27,NA
"166","alb","CAMP",1981-12-28,NA
"167","alb","CAMP",1981-12-29,NA
"168","alb","CAMP",1981-12-30,NA
"169","alb","CAMP",1981-12-31,NA
"170","alb","CAMP",1982-01-01,NA
"171","alb","CAMP",1982-01-02,NA
"172","alb","CAMP",1982-01-03,NA
"173","alb","CAMP",1982-01-04,NA
"174","alb","CAMP",1982-01-05,NA
"175","alb","CAMP",1982-01-06,NA
"176","alb","CAMP",1982-01-07,NA
"177","alb","CAMP",1982-01-08,NA
"178","alb","CAMP",1982-01-09,NA
"179","alb","CAMP",1982-01-10,NA
"180","alb","CAMP",1982-01-11,NA
"181","alb","CAMP",1982-01-12,NA
"182","alb","CAMP",1982-01-13,NA
"183","alb","CAMP",1982-01-14,NA
"184","alb","CAMP",1982-01-15,NA
"185","alb","CAMP",1982-01-16,NA
"186","alb","CAMP",1982-01-17,NA
"187","alb","CAMP",1982-01-18,NA
"188","alb","CAMP",1982-01-19,NA
"189","alb","CAMP",1982-01-20,NA
"190","alb","CAMP",1982-01-21,NA
"191","alb","CAMP",1982-01-22,NA
"192","alb","CAMP",1982-01-23,NA
"193","alb","CAMP",1982-01-24,NA
"194","alb","CAMP",1982-01-25,NA
"195","alb","CAMP",1982-01-26,NA
"196","alb","CAMP",1982-01-27,NA
"197","alb","CAMP",1982-01-28,NA
"198","alb","CAMP",1982-01-29,NA
"199","alb","CAMP",1982-01-30,NA
"200","alb","CAMP",1982-01-31,NA
"201","alb","CAMP",1982-02-01,NA
"202","alb","CAMP",1982-02-02,NA
"203","alb","CAMP",1982-02-03,NA
"204","alb","CAMP",1982-02-04,NA
"205","alb","CAMP",1982-02-05,NA
"206","alb","CAMP",1982-02-06,NA
"207","alb","CAMP",1982-02-07,NA
"208","alb","CAMP",1982-02-08,NA
"209","alb","CAMP",1982-02-09,NA
"210","alb","CAMP",1982-02-10,NA
"211","alb","CAMP",1982-02-11,NA
"212","alb","CAMP",1982-02-12,NA
"213","alb","CAMP",1982-02-13,NA
"214","alb","CAMP",1982-02-14,NA
"215","alb","CAMP",1982-02-15,NA
"216","alb","CAMP",1982-02-16,NA
"217","alb","CAMP",1982-02-17,NA
"218","alb","CAMP",1982-02-18,NA
"219","alb","CAMP",1982-02-19,NA
"220","alb","CAMP",1982-02-20,NA
"221","alb","CAMP",1982-02-21,NA
"222","alb","CAMP",1982-02-22,NA
"223","alb","CAMP",1982-02-23,NA
"224","alb","CAMP",1982-02-24,NA
"225","alb","CAMP",1982-02-25,NA
"226","alb","CAMP",1982-02-26,NA
"227","alb","CAMP",1982-02-27,NA
"228","alb","CAMP",1982-02-28,NA
"229","alb","CAMP",1982-03-01,NA
"230","alb","CAMP",1982-03-02,NA
"231","alb","CAMP",1982-03-03,NA
"232","alb","CAMP",1982-03-04,NA
"233","alb","CAMP",1982-03-05,NA
"234","alb","CAMP",1982-03-06,NA
"235","alb","CAMP",1982-03-07,NA
"236","alb","CAMP",1982-03-08,NA
"237","alb","CAMP",1982-03-09,NA
"238","alb","CAMP",1982-03-10,NA
"239","alb","CAMP",1982-03-11,NA
"240","alb","CAMP",1982-03-12,NA
"241","alb","CAMP",1982-03-13,NA
"242","alb","CAMP",1982-03-14,NA
"243","alb","CAMP",1982-03-15,NA
"244","alb","CAMP",1982-03-16,NA
"245","alb","CAMP",1982-03-17,NA
"246","alb","CAMP",1982-03-18,NA
"247","alb","CAMP",1982-03-19,NA
"248","alb","CAMP",1982-03-20,NA
"249","alb","CAMP",1982-03-21,NA
"250","alb","CAMP",1982-03-22,NA
"251","alb","CAMP",1982-03-23,NA
"252","alb","CAMP",1982-03-24,NA
"253","alb","CAMP",1982-03-25,NA
"254","alb","CAMP",1982-03-26,NA
"255","alb","CAMP",1982-03-27,NA
"256","alb","CAMP",1982-03-28,NA
"257","alb","CAMP",1982-03-29,NA
"258","alb","CAMP",1982-03-30,NA
"259","alb","CAMP",1982-03-31,NA
"260","alb","CAMP",1982-04-01,NA
"261","alb","CAMP",1982-04-02,NA
"262","alb","CAMP",1982-04-03,NA
"263","alb","CAMP",1982-04-04,NA
"264","alb","CAMP",1982-04-05,NA
"265","alb","CAMP",1982-04-06,NA
"266","alb","CAMP",1982-04-07,NA
"267","alb","CAMP",1982-04-08,NA
"268","alb","CAMP",1982-04-09,NA
"269","alb","CAMP",1982-04-10,NA
"270","alb","CAMP",1982-04-11,NA
"271","alb","CAMP",1982-04-12,NA
"272","alb","CAMP",1982-04-13,NA
"273","alb","CAMP",1982-04-14,NA
"274","alb","CAMP",1982-04-15,NA
"275","alb","CAMP",1982-04-16,NA
"276","alb","CAMP",1982-04-17,NA
"277","alb","CAMP",1982-04-18,NA
"278","alb","CAMP",1982-04-19,NA
"279","alb","CAMP",1982-04-20,NA
"280","alb","CAMP",1982-04-21,NA
"281","alb","CAMP",1982-04-22,NA
"282","alb","CAMP",1982-04-23,NA
"283","alb","CAMP",1982-04-24,NA
"284","alb","CAMP",1982-04-25,NA
"285","alb","CAMP",1982-04-26,NA
"286","alb","CAMP",1982-04-27,NA
"287","alb","CAMP",1982-04-28,NA
"288","alb","CAMP",1982-04-29,NA
"289","alb","CAMP",1982-04-30,NA
"290","alb","CAMP",1982-05-01,NA
"291","alb","CAMP",1982-05-02,NA
"292","alb","CAMP",1982-05-03,NA
"293","alb","CAMP",1982-05-04,NA
"294","alb","CAMP",1982-05-05,NA
"295","alb","CAMP",1982-05-06,NA
"296","alb","CAMP",1982-05-07,NA
"297","alb","CAMP",1982-05-08,NA
"298","alb","CAMP",1982-05-09,NA
"299","alb","CAMP",1982-05-10,NA
"300","alb","CAMP",1982-05-11,NA
"301","alb","CAMP",1982-05-12,NA
"302","alb","CAMP",1982-05-13,NA
"303","alb","CAMP",1982-05-14,NA
"304","alb","CAMP",1982-05-15,NA
"305","alb","CAMP",1982-05-16,NA
"306","alb","CAMP",1982-05-17,NA
"307","alb","CAMP",1982-05-18,NA
"308","alb","CAMP",1982-05-19,NA
"309","alb","CAMP",1982-05-20,NA
"310","alb","CAMP",1982-05-21,NA
"311","alb","CAMP",1982-05-22,NA
"312","alb","CAMP",1982-05-23,NA
"313","alb","CAMP",1982-05-24,NA
"314","alb","CAMP",1982-05-25,NA
"315","alb","CAMP",1982-05-26,NA
"316","alb","CAMP",1982-05-27,NA
"317","alb","CAMP",1982-05-28,NA
"318","alb","CAMP",1982-05-29,NA
"319","alb","CAMP",1982-05-30,NA
"320","alb","CAMP",1982-05-31,NA
"321","alb","CAMP",1982-06-01,NA
"322","alb","CAMP",1982-06-02,NA
"323","alb","CAMP",1982-06-03,NA
"324","alb","CAMP",1982-06-04,NA
"325","alb","CAMP",1982-06-05,NA
"326","alb","CAMP",1982-06-06,NA
"327","alb","CAMP",1982-06-07,NA
"328","alb","CAMP",1982-06-08,3460
"329","alb","CAMP",1982-06-09,4975
"330","alb","CAMP",1982-06-10,7617
"331","alb","CAMP",1982-06-11,12151
"332","alb","CAMP",1982-06-12,13292
"333","alb","CAMP",1982-06-13,45081
"334","alb","CAMP",1982-06-14,40893
"335","alb","CAMP",1982-06-15,42088
"336","alb","CAMP",1982-06-16,39533
"337","alb","CAMP",1982-06-17,49337
"338","alb","CAMP",1982-06-18,50682
"339","alb","CAMP",1982-06-19,51823
"340","alb","CAMP",1982-06-20,45760
"341","alb","CAMP",1982-06-21,59483
"342","alb","CAMP",1982-06-22,71656
"343","alb","CAMP",1982-06-23,64594
"344","alb","CAMP",1982-06-24,61751
"345","alb","CAMP",1982-06-25,64693
"346","alb","CAMP",1982-06-26,75046
"347","alb","CAMP",1982-06-27,102074
"348","alb","CAMP",1982-06-28,132008
"349","alb","CAMP",1982-06-29,108097
"350","alb","CAMP",1982-06-30,129213
"351","alb","CAMP",1982-07-01,122995
"352","alb","CAMP",1982-07-02,126506
"353","alb","CAMP",1982-07-03,128392
"354","alb","CAMP",1982-07-04,123326
"355","alb","CAMP",1982-07-05,121412
"356","alb","CAMP",1982-07-06,120945
"357","alb","CAMP",1982-07-07,99868
"358","alb","CAMP",1982-07-08,73072
"359","alb","CAMP",1982-07-09,76314
"360","alb","CAMP",1982-07-10,68473
"361","alb","CAMP",1982-07-11,57687
"362","alb","CAMP",1982-07-12,59636
"363","alb","CAMP",1982-07-13,61700
"364","alb","CAMP",1982-07-14,60244
"365","alb","CAMP",1982-07-15,61349
"366","alb","CAMP",1982-07-16,61172
"367","alb","CAMP",1982-07-17,61003
"368","alb","CAMP",1982-07-18,61323
"369","alb","CAMP",1982-07-19,60494
"370","alb","CAMP",1982-07-20,59018
"371","alb","CAMP",1982-07-21,55739
"372","alb","CAMP",1982-07-22,56897
"373","alb","CAMP",1982-07-23,57362
"374","alb","CAMP",1982-07-24,55923
"375","alb","CAMP",1982-07-25,53689
"376","alb","CAMP",1982-07-26,50733
"377","alb","CAMP",1982-07-27,49900
"378","alb","CAMP",1982-07-28,49136
"379","alb","CAMP",1982-07-29,51846
"380","alb","CAMP",1982-07-30,53386
"381","alb","CAMP",1982-07-31,55804
"382","alb","CAMP",1982-08-01,58022
"383","alb","CAMP",1982-08-02,94533
"384","alb","CAMP",1982-08-03,110685
"385","alb","CAMP",1982-08-04,64883
"386","alb","CAMP",1982-08-05,51053
"387","alb","CAMP",1982-08-06,47658
"388","alb","CAMP",1982-08-07,47544
"389","alb","CAMP",1982-08-08,44497
"390","alb","CAMP",1982-08-09,48714
"391","alb","CAMP",1982-08-10,43676
"392","alb","CAMP",1982-08-11,41816
"393","alb","CAMP",1982-08-12,40020
"394","alb","CAMP",1982-08-13,40963
"395","alb","CAMP",1982-08-14,37732
"396","alb","CAMP",1982-08-15,38712
"397","alb","CAMP",1982-08-16,41773
"398","alb","CAMP",1982-08-17,35439
"399","alb","CAMP",1982-08-18,44121
"400","alb","CAMP",1982-08-19,39012
"401","alb","CAMP",1982-08-20,44044
"402","alb","CAMP",1982-08-21,44412
"403","alb","CAMP",1982-08-22,42405
"404","alb","CAMP",1982-08-23,40236
"405","alb","CAMP",1982-08-24,38899
"406","alb","CAMP",1982-08-25,36781
"407","alb","CAMP",1982-08-26,36033
"408","alb","CAMP",1982-08-27,34357
"409","alb","CAMP",1982-08-28,31882
"410","alb","CAMP",1982-08-29,30294
"411","alb","CAMP",1982-08-30,30177
"412","alb","CAMP",1982-08-31,19649
"413","alb","CAMP",1982-09-01,22297
"414","alb","CAMP",1982-09-02,26598
"415","alb","CAMP",1982-09-03,14139
"416","alb","CAMP",1982-09-04,15031
"417","alb","CAMP",1982-09-05,12462
"418","alb","CAMP",1982-09-06,11825
"419","alb","CAMP",1982-09-07,11236
"420","alb","CAMP",1982-09-08,11723
"421","alb","CAMP",1982-09-09,10758
"422","alb","CAMP",1982-09-10,12995
"423","alb","CAMP",1982-09-11,11225
"424","alb","CAMP",1982-09-12,16834
"425","alb","CAMP",1982-09-13,10854
"426","alb","CAMP",1982-09-14,10038
"427","alb","CAMP",1982-09-15,10630
"428","alb","CAMP",1982-09-16,11729
"429","alb","CAMP",1982-09-17,11097
"430","alb","CAMP",1982-09-18,15954
"431","alb","CAMP",1982-09-19,11403
"432","alb","CAMP",1982-09-20,11522
"433","alb","CAMP",1982-09-21,11327
"434","alb","CAMP",1982-09-22,11188
"435","alb","CAMP",1982-09-23,10831
"436","alb","CAMP",1982-09-24,11248
"437","alb","CAMP",1982-09-25,11324
"438","alb","CAMP",1982-09-26,15671
"439","alb","CAMP",1982-09-27,9914
"440","alb","CAMP",1982-09-28,10480
"441","alb","CAMP",1982-09-29,10766
"442","alb","CAMP",1982-09-30,11485
"443","alb","CAMP",1982-10-01,10375
"444","alb","CAMP",1982-10-02,12808
"445","alb","CAMP",1982-10-03,12842
"446","alb","CAMP",1982-10-04,11219
"447","alb","CAMP",1982-10-05,11044
"448","alb","CAMP",1982-10-06,22268
"449","alb","CAMP",1982-10-07,7238
"450","alb","CAMP",1982-10-08,5576
"451","alb","CAMP",1982-10-09,7224
"452","alb","CAMP",1982-10-10,15478
"453","alb","CAMP",1982-10-11,13479
"454","alb","CAMP",1982-10-12,2078
"455","alb","CAMP",1982-10-13,NA
"456","alb","CAMP",1982-10-14,NA
"457","alb","CAMP",1982-10-15,NA
"458","alb","CAMP",1982-10-16,NA
"459","alb","CAMP",1982-10-17,NA
"460","alb","CAMP",1982-10-18,NA
"461","alb","CAMP",1982-10-19,NA
"462","alb","CAMP",1982-10-20,NA
"463","alb","CAMP",1982-10-21,NA
"464","alb","CAMP",1982-10-22,NA
"465","alb","CAMP",1982-10-23,NA
"466","alb","CAMP",1982-10-24,NA
"467","alb","CAMP",1982-10-25,NA
"468","alb","CAMP",1982-10-26,NA
"469","alb","CAMP",1982-10-27,NA
"470","alb","CAMP",1982-10-28,NA
"471","alb","CAMP",1982-10-29,NA
"472","alb","CAMP",1982-10-30,NA
"473","alb","CAMP",1982-10-31,NA
"474","alb","CAMP",1982-11-01,NA
"475","alb","CAMP",1982-11-02,NA
"476","alb","CAMP",1982-11-03,NA
"477","alb","CAMP",1982-11-04,NA
"478","alb","CAMP",1982-11-05,NA
"479","alb","CAMP",1982-11-06,NA
"480","alb","CAMP",1982-11-07,NA
"481","alb","CAMP",1982-11-08,NA
"482","alb","CAMP",1982-11-09,NA
"483","alb","CAMP",1982-11-10,NA
"484","alb","CAMP",1982-11-11,NA
"485","alb","CAMP",1982-11-12,NA
"486","alb","CAMP",1982-11-13,NA
"487","alb","CAMP",1982-11-14,NA
"488","alb","CAMP",1982-11-15,NA
"489","alb","CAMP",1982-11-16,NA
"490","alb","CAMP",1982-11-17,NA
"491","alb","CAMP",1982-11-18,NA
"492","alb","CAMP",1982-11-19,NA
"493","alb","CAMP",1982-11-20,NA
"494","alb","CAMP",1982-11-21,NA
"495","alb","CAMP",1982-11-22,NA
"496","alb","CAMP",1982-11-23,NA
"497","alb","CAMP",1982-11-24,NA
"498","alb","CAMP",1982-11-25,NA
"499","alb","CAMP",1982-11-26,NA
"500","alb","CAMP",1982-11-27,NA
"501","alb","CAMP",1982-11-28,NA
"502","alb","CAMP",1982-11-29,NA
"503","alb","CAMP",1982-11-30,NA
"504","alb","CAMP",1982-12-01,NA
"505","alb","CAMP",1982-12-02,NA
"506","alb","CAMP",1982-12-03,NA
"507","alb","CAMP",1982-12-04,NA
"508","alb","CAMP",1982-12-05,NA
"509","alb","CAMP",1982-12-06,NA
"510","alb","CAMP",1982-12-07,NA
"511","alb","CAMP",1982-12-08,NA
"512","alb","CAMP",1982-12-09,NA
"513","alb","CAMP",1982-12-10,NA
"514","alb","CAMP",1982-12-11,NA
"515","alb","CAMP",1982-12-12,NA
"516","alb","CAMP",1982-12-13,NA
"517","alb","CAMP",1982-12-14,NA
"518","alb","CAMP",1982-12-15,NA
"519","alb","CAMP",1982-12-16,NA
"520","alb","CAMP",1982-12-17,NA
"521","alb","CAMP",1982-12-18,NA
"522","alb","CAMP",1982-12-19,NA
"523","alb","CAMP",1982-12-20,NA
"524","alb","CAMP",1982-12-21,NA
"525","alb","CAMP",1982-12-22,NA
"526","alb","CAMP",1982-12-23,NA
"527","alb","CAMP",1982-12-24,NA
"528","alb","CAMP",1982-12-25,NA
"529","alb","CAMP",1982-12-26,NA
"530","alb","CAMP",1982-12-27,NA
"531","alb","CAMP",1982-12-28,NA
"532","alb","CAMP",1982-12-29,NA
"533","alb","CAMP",1982-12-30,NA
"534","alb","CAMP",1982-12-31,NA
"535","alb","CAMP",1983-01-01,NA
"536","alb","CAMP",1983-01-02,NA
"537","alb","CAMP",1983-01-03,NA
"538","alb","CAMP",1983-01-04,NA
"539","alb","CAMP",1983-01-05,NA
"540","alb","CAMP",1983-01-06,NA
"541","alb","CAMP",1983-01-07,NA
"542","alb","CAMP",1983-01-08,NA
"543","alb","CAMP",1983-01-09,NA
"544","alb","CAMP",1983-01-10,NA
"545","alb","CAMP",1983-01-11,NA
"546","alb","CAMP",1983-01-12,NA
"547","alb","CAMP",1983-01-13,NA
"548","alb","CAMP",1983-01-14,NA
"549","alb","CAMP",1983-01-15,NA
"550","alb","CAMP",1983-01-16,NA
"551","alb","CAMP",1983-01-17,NA
"552","alb","CAMP",1983-01-18,NA
"553","alb","CAMP",1983-01-19,NA
"554","alb","CAMP",1983-01-20,NA
"555","alb","CAMP",1983-01-21,NA
"556","alb","CAMP",1983-01-22,NA
"557","alb","CAMP",1983-01-23,NA
"558","alb","CAMP",1983-01-24,NA
"559","alb","CAMP",1983-01-25,NA
"560","alb","CAMP",1983-01-26,NA
"561","alb","CAMP",1983-01-27,NA
"562","alb","CAMP",1983-01-28,NA
"563","alb","CAMP",1983-01-29,NA
"564","alb","CAMP",1983-01-30,NA
"565","alb","CAMP",1983-01-31,NA
"566","alb","CAMP",1983-02-01,NA
"567","alb","CAMP",1983-02-02,NA
"568","alb","CAMP",1983-02-03,NA
"569","alb","CAMP",1983-02-04,NA
"570","alb","CAMP",1983-02-05,NA
"571","alb","CAMP",1983-02-06,NA
"572","alb","CAMP",1983-02-07,NA
"573","alb","CAMP",1983-02-08,NA
"574","alb","CAMP",1983-02-09,NA
"575","alb","CAMP",1983-02-10,NA
"576","alb","CAMP",1983-02-11,NA
"577","alb","CAMP",1983-02-12,NA
"578","alb","CAMP",1983-02-13,NA
"579","alb","CAMP",1983-02-14,NA
"580","alb","CAMP",1983-02-15,NA
"581","alb","CAMP",1983-02-16,NA
"582","alb","CAMP",1983-02-17,NA
"583","alb","CAMP",1983-02-18,NA
"584","alb","CAMP",1983-02-19,NA
"585","alb","CAMP",1983-02-20,NA
"586","alb","CAMP",1983-02-21,NA
"587","alb","CAMP",1983-02-22,NA
"588","alb","CAMP",1983-02-23,NA
"589","alb","CAMP",1983-02-24,NA
"590","alb","CAMP",1983-02-25,NA
"591","alb","CAMP",1983-02-26,NA
"592","alb","CAMP",1983-02-27,NA
"593","alb","CAMP",1983-02-28,NA
"594","alb","CAMP",1983-03-01,NA
"595","alb","CAMP",1983-03-02,NA
"596","alb","CAMP",1983-03-03,NA
"597","alb","CAMP",1983-03-04,NA
"598","alb","CAMP",1983-03-05,NA
"599","alb","CAMP",1983-03-06,NA
"600","alb","CAMP",1983-03-07,NA
"601","alb","CAMP",1983-03-08,NA
"602","alb","CAMP",1983-03-09,NA
"603","alb","CAMP",1983-03-10,NA
"604","alb","CAMP",1983-03-11,NA
"605","alb","CAMP",1983-03-12,NA
"606","alb","CAMP",1983-03-13,NA
"607","alb","CAMP",1983-03-14,NA
"608","alb","CAMP",1983-03-15,NA
"609","alb","CAMP",1983-03-16,NA
"610","alb","CAMP",1983-03-17,NA
"611","alb","CAMP",1983-03-18,NA
"612","alb","CAMP",1983-03-19,NA
"613","alb","CAMP",1983-03-20,NA
"614","alb","CAMP",1983-03-21,NA
"615","alb","CAMP",1983-03-22,NA
"616","alb","CAMP",1983-03-23,NA
"617","alb","CAMP",1983-03-24,NA
"618","alb","CAMP",1983-03-25,NA
"619","alb","CAMP",1983-03-26,NA
"620","alb","CAMP",1983-03-27,NA
"621","alb","CAMP",1983-03-28,NA
"622","alb","CAMP",1983-03-29,NA
"623","alb","CAMP",1983-03-30,NA
"624","alb","CAMP",1983-03-31,NA
"625","alb","CAMP",1983-04-01,NA
"626","alb","CAMP",1983-04-02,NA
"627","alb","CAMP",1983-04-03,NA
"628","alb","CAMP",1983-04-04,NA
"629","alb","CAMP",1983-04-05,NA
"630","alb","CAMP",1983-04-06,NA
"631","alb","CAMP",1983-04-07,NA
"632","alb","CAMP",1983-04-08,NA
"633","alb","CAMP",1983-04-09,NA
"634","alb","CAMP",1983-04-10,NA
"635","alb","CAMP",1983-04-11,NA
"636","alb","CAMP",1983-04-12,NA
"637","alb","CAMP",1983-04-13,NA
"638","alb","CAMP",1983-04-14,NA
"639","alb","CAMP",1983-04-15,NA
"640","alb","CAMP",1983-04-16,NA
"641","alb","CAMP",1983-04-17,NA
"642","alb","CAMP",1983-04-18,NA
"643","alb","CAMP",1983-04-19,NA
"644","alb","CAMP",1983-04-20,NA
"645","alb","CAMP",1983-04-21,NA
"646","alb","CAMP",1983-04-22,NA
"647","alb","CAMP",1983-04-23,NA
"648","alb","CAMP",1983-04-24,NA
"649","alb","CAMP",1983-04-25,NA
"650","alb","CAMP",1983-04-26,NA
"651","alb","CAMP",1983-04-27,NA
"652","alb","CAMP",1983-04-28,NA
"653","alb","CAMP",1983-04-29,NA
"654","alb","CAMP",1983-04-30,NA
"655","alb","CAMP",1983-05-01,NA
"656","alb","CAMP",1983-05-02,NA
"657","alb","CAMP",1983-05-03,NA
"658","alb","CAMP",1983-05-04,NA
"659","alb","CAMP",1983-05-05,NA
"660","alb","CAMP",1983-05-06,NA
"661","alb","CAMP",1983-05-07,NA
"662","alb","CAMP",1983-05-08,NA
"663","alb","CAMP",1983-05-09,NA
"664","alb","CAMP",1983-05-10,NA
